,R0,R1,L
P,16.22,16.25,43.06
,16.25,16.25,42.49
,16.36,16.41,43.46
,16.23,16.25,42.43
,16.26,16.25,43.07
,16.36,16.21,43.53
,16.25,16.29,42.32
,16.26,16.24,43.38
,16.37,16.23,43.74
,16.31,16.29,43.11
E,16.11,16.1,42.46
,16.13,16.12,43.05
,16.24,16.22,42.99
,16.04,16.13,43.05
,16.13,16.25,43.51
,16.29,16.14,43.83
,16.23,16.24,42.43
,16.16,16.1,42.62
,16.19,16.29,41.22
,16.04,16.13,43.05
H,16.21,16.18,43.08
,16.33,16.27,42.61
,16.34,16.24,42.39
,16.34,16.27,42.4
,16.37,16.21,42.22
,16.31,16.38,42.87
,16.16,16.29,42.26
,16.22,16.27,42.18
,16.28,16.24,42.01
,16.31,16.25,43.11
